climber_id,year,season,route,age,sex,is_hired_staff,years_climbing,prior_8000m_peaks,prior_everest_attempts,highest_prev_altitude_m,operator_tier,team_size,sherpa_ratio,uses_oxygen,o2_start_altitude_m,days_acclimatizing,camps_established,summit_window_days,weather_score,jetstream_risk,queue_minutes_above_8000,turnaround_reason,serious_incident,summited
CLB000000,2025,spring,South Col-SE Ridge,56,M,0,15,0,1,5994,premium,16,1.3,1,7000,29,6,5,10.0,1.3,120,other,0,0
CLB000001,2020,spring,North Ridge-NE,47,M,0,7,0,1,6434,premium,9,1.51,1,7900,27,4,5,4.8,4.7,26,summited,0,1
CLB000002,2022,autumn,South Col-SE Ridge,24,M,1,19,1,0,8357,budget,6,0.51,1,7000,29,3,3,8.6,1.6,37,summited,0,1
CLB000003,2024,spring,South Col-SE Ridge,50,F,0,12,3,0,8354,budget,11,0.14,1,7000,35,2,6,5.9,3.0,45,team_decision,0,0
CLB000004,2015,spring,North Ridge-NE,60,F,0,1,1,0,8014,mid,9,1.52,1,7300,20,1,7,6.7,2.7,20,exhaustion_altitude_sickness,0,0
CLB000005,2011,spring,South Col-SE Ridge,28,M,0,17,1,1,8152,premium,12,2.54,1,7900,33,5,5,4.1,5.7,13,summited,0,1
CLB000006,2025,spring,South Col-SE Ridge,40,M,0,6,2,3,7793,premium,8,1.63,1,7900,30,5,8,0.0,9.4,11,summited,0,1
CLB000007,2018,spring,North Ridge-NE,35,F,1,14,7,1,7862,budget,7,0.65,1,7900,32,1,3,6.6,2.1,65,summited,0,1
CLB000008,1999,spring,South Col-SE Ridge,33,F,0,8,6,0,7952,budget,10,0.94,1,7900,31,2,6,5.7,5.2,35,summited,1,1
CLB000009,2021,spring,South Col-SE Ridge,35,M,1,17,6,1,7668,independent,17,0.61,0,0,27,3,3,4.1,5.5,75,exhaustion_altitude_sickness,0,0
